"id","categoryName","categoryDescription"
1,"Butcher Shop","Fresh cuts of meat and delicatessen"
2,"Flower Shop","Beautiful flowers and floral arrangements"
3,"Fish Market","A variety of fresh seafood and fish"
4,"Bakery","Freshly baked bread, pastries, and desserts"
5,"Greengrocer","A wide selection of fresh fruits and vegetables"
6,"Hardware Store","Tools, equipment, and home improvement supplies"
7,"Gift Shop","Unique gifts, cards, and souvenirs"
8,"Deli","Gourmet sandwiches, cheeses, and cold cuts"
9,"Coffee Shop","Quality coffee, tea, and baked goods"
10,"Bookstore","Books, magazines, and reading materials"
